,   Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55600,Moora (S),2014,307,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55600,Moora (S),2015,294,191,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55600,Moora (S),2016,278,195,-,8,735,11,11,21,107,907,3,116,18,93,1137,253,23,604,874,2.4,223,40,255,47,35,6,613,3,776,233,610,49.8,33.2,6.4,8.1,2.8,73.5,22.5,690,1283,62.2,18.3,7.2,0.7,8.4,31.1,1.9,32,670,98,837,12,-,18,39.5,26.1,29.4,96.3,3.7,95.1,4.9,20.1,2.7,26.7,4.1,6,6,4,6,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55670,Morawa (S),2011,87,100,-,-,227,-,7,10,47,303,3,36,14,44,400,90,5,198,299,2.5,82,7,82,25,-,-,206,3.1,264,71,182,46.9,37.1,4,7.7,3.1,-,-,425,968,61.1,21.6,6.4,2.5,11.8,32.6,2.1,-,-,-,290,3,-,3,38.6,21.8,34.8,96.7,3.3,95.6,4.4,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55670,Morawa (S),2012,73,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55670,Morawa (S),2013,87,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55670,Morawa (S),2014,82,110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55670,Morawa (S),2015,97,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55670,Morawa (S),2016,102,50,-,-,170,-,-,4,39,227,4,39,4,30,304,87,-,173,265,2.4,55,-,72,24,7,-,174,3,207,66,200,44.1,40.9,3.9,7.2,3.7,72.8,22.3,680,452,64.1,18.9,5.6,1.7,9.7,37.6,2.2,10,217,24,261,-,-,-,37.8,18.4,38.6,96.7,3.3,94.1,5.9,20.3,1.3,29.5,4.9,4,5,7,3,3,4,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55740,Mosman Park (T),2011,1783,200,350,119,2479,18,100,46,135,3264,173,212,45,430,4124,1137,171,2047,3359,2.3,814,106,818,183,92,38,2059,3,2715,603,2808,43.3,39.3,5.7,9.3,2.5,-,-,1371,2838,66.7,17.9,6.8,0.7,10.7,24,1.9,-,-,-,2028,415,915,3,32.6,26.3,37.5,90.9,9.1,85.8,14.2,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55740,Mosman Park (T),2012,1829,210,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55740,Mosman Park (T),2013,1807,240,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55740,Mosman Park (T),2014,1836,230,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55740,Mosman Park (T),2015,1868,250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55740,Mosman Park (T),2016,1741,244,351,85,2538,31,81,36,125,3256,137,263,38,365,4059,1041,122,2142,3312,2.4,865,120,864,185,87,36,2161,3,2952,618,2619,47.7,36.4,4.5,8.9,2.5,87.1,10.7,1675,2855,63.7,18.8,7,0.7,10.3,27.3,1.9,49,2328,722,2010,520,773,-,33,28.5,34.8,93.8,6.2,85.9,14.1,11.2,10.7,13.1,10.1,10,10,10,10,10,10,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55810,Mount Magnet (S),2011,42,60,-,15,136,-,5,10,33,215,3,14,3,19,254,65,-,119,196,2.5,44,10,47,15,7,9,133,3,95,99,170,28.6,51.3,3.7,13,4.6,-,-,446,1050,71.4,10.1,2.5,0.8,7.5,16.4,2.1,-,-,-,190,-,-,3,33,9.3,54.1,97.3,2.7,96.9,3.1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55810,Mount Magnet (S),2012,35,107,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55810,Mount Magnet (S),2013,51,107,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55810,Mount Magnet (S),2014,49,180,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55810,Mount Magnet (S),2015,65,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55810,Mount Magnet (S),2016,59,10,-,6,84,-,3,-,29,122,-,11,-,17,150,53,9,88,143,2.4,31,-,44,8,-,-,90,3,70,68,122,32.7,43.4,3,15.2,4.1,67.8,27.3,504,391,53,12.9,4.8,-,7.4,16.2,2.3,6,104,20,127,5,-,9,36.4,17.9,39.1,97.7,2.3,96.8,3.2,6.6,1.2,13.9,1.3,1,1,2,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55880,Mount Marshall (S),2011,47,105,-,4,131,3,3,8,41,189,9,56,-,20,274,49,-,138,187,2.4,50,7,65,7,-,-,133,3,203,44,84,62.5,27,2.7,7.3,1.1,-,-,172,831,67.4,23.7,5.7,1.9,8.9,53.4,1.9,-,-,-,187,-,-,-,49.2,18.5,27.5,97.3,2.7,100,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55880,Mount Marshall (S),2012,53,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55880,Mount Marshall (S),2013,49,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55880,Mount Marshall (S),2014,48,113,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55880,Mount Marshall (S),2015,41,158,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55880,Mount Marshall (S),2016,38,113,-,3,124,4,-,10,44,184,5,67,-,17,273,52,6,139,202,2.4,61,8,63,8,-,-,142,2.9,196,60,105,56.7,27.6,3.1,7.3,3.6,77.7,19.3,222,694,57.6,26.4,6.3,1,12.8,51.3,1.7,-,158,18,197,-,-,-,43.3,18.4,35.3,98.4,1.6,98.4,1.6,23.2,6.5,28.5,11.1,8,8,9,9,7,7,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55950,Mukinbudin (S),2011,94,105,-,4,116,3,9,12,44,180,-,60,8,30,275,54,-,155,208,2.3,39,8,90,-,-,-,154,2.7,242,45,89,63.9,24.4,4.7,6,1.2,-,-,245,681,67.2,16.4,8.7,1.2,10.9,39.8,1.8,-,-,-,189,15,3,-,47,21.3,29.7,98.4,1.6,95.5,4.5,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55950,Mukinbudin (S),2012,77,130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55950,Mukinbudin (S),2013,74,260,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55950,Mukinbudin (S),2014,67,210,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55950,Mukinbudin (S),2015,73,223,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55950,Mukinbudin (S),2016,67,245,-,3,124,4,9,12,38,196,-,50,11,21,276,52,-,153,203,2.5,51,8,84,6,5,-,155,2.7,246,37,88,64.8,23.4,6.4,3.7,2.5,80.8,20.2,459,788,58.4,23.9,8,1.1,11.3,42.8,1.9,-,164,22,196,8,-,-,46.7,19.2,29.4,100,-,96.9,3.1,28.3,7.8,21.0,7.3,9,8,7,9,8,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56090,Mundaring (S),2011,7363,80,180,273,12178,98,69,207,300,13555,797,884,247,2183,17666,2299,221,9873,12392,2.7,3713,883,4035,838,479,89,10049,3,13945,2602,8999,53,30.9,4.3,8.5,3.2,-,-,1242,2005,59.2,19.5,8.4,1.3,10.7,19.6,1.9,-,-,-,11933,333,92,31,37.3,46.2,13.2,89.1,10.9,95.9,4.1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56090,Mundaring (S),2012,6748,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56090,Mundaring (S),2013,6962,120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56090,Mundaring (S),2014,7128,130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56090,Mundaring (S),2015,7090,140,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56090,Mundaring (S),2016,6742,150,223,275,12359,81,67,231,238,13703,653,929,203,1902,17390,2525,248,10069,12849,2.7,3651,998,4216,850,526,102,10350,3,14071,2935,9639,52.2,31.6,4.1,8.6,3.4,87.6,10.5,1475,2068,59.3,19,8.1,0.8,11.1,21.3,1.9,210,10627,1265,12283,470,30,40,37.3,48,12.2,90.1,9.9,95.6,4.4,20.0,18.4,16.4,9.6,9,9,8,10,9,9,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56160,Murchison (S),2011,-,-,-,-,9,-,-,-,19,25,9,12,-,4,50,6,-,26,34,2.4,6,-,17,-,-,-,30,2.5,33,15,23,46.1,42.7,-,10.1,-,-,-,109,2500,64,21.3,5.6,-,4.5,32.6,1.6,-,-,-,32,-,-,-,12.9,9.7,77.4,100,-,100,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56160,Murchison (S),2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56160,Murchison (S),2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56160,Murchison (S),2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56160,Murchison (S),2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56160,Murchison (S),2016,-,-,-,-,20,-,-,-,23,40,3,6,-,3,52,16,-,25,36,2.8,6,-,9,-,-,-,26,2.9,34,12,35,40.5,46.6,3.1,6.1,2.3,72.2,36.1,79,-,39.7,9.9,11.5,7.6,13,32.1,1.5,-,23,6,30,-,-,3,13.5,-,75.7,100,-,100,-,25.6,-,45.9,-,1,1,3,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56230,Murray (S),2011,2112,74,39,101,3787,34,17,91,166,4336,161,355,120,870,5842,1191,104,3882,5175,2.5,1237,291,1871,366,153,34,3948,2.9,5392,1109,3361,54.4,26.8,5.3,10,3.6,-,-,1037,2023,64,18.7,7.3,1.2,10.4,17.4,1.9,-,-,-,4778,143,72,190,35.7,36.9,21.1,90,10,92.7,7.3,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56230,Murray (S),2012,2106,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56230,Murray (S),2013,2237,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56230,Murray (S),2014,2348,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56230,Murray (S),2015,2468,120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56230,Murray (S),2016,2407,111,44,138,4284,21,11,125,169,4908,132,371,91,916,6418,1361,128,4510,6000,2.5,1383,355,2146,463,215,33,4605,2.9,5973,1423,4151,51.9,28.5,5.2,10.3,4.1,81.5,16,1282,1952,63.2,18,7.8,1,11.4,19.4,1.9,117,4937,617,5423,346,17,185,35,38.7,20.9,91.6,8.4,91.3,8.7,28.0,17.4,22.8,19.5,5,5,2,9,4,3,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56300,Nannup (S),2011,196,50,-,7,286,7,13,10,78,416,-,92,7,76,587,147,15,354,518,2.3,88,19,206,20,18,-,357,2.7,466,143,324,51.7,27.3,4.8,12.2,3.2,-,-,567,1536,69.5,15.6,6.9,1.2,10.9,32.3,1.9,-,-,-,488,5,-,23,46,24.8,26.1,93.1,6.9,93.2,6.8,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56300,Nannup (S),2012,202,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56300,Nannup (S),2013,212,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56300,Nannup (S),2014,208,93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56300,Nannup (S),2015,208,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56300,Nannup (S),2016,224,135,-,4,287,9,8,12,56,377,-,80,15,70,544,148,19,353,514,2.2,69,28,205,22,10,-,353,2.6,436,155,339,49.5,27.2,5.5,12.8,4.5,77,20,881,1548,66.9,15.1,5.9,0.6,10.7,34,1.7,9,406,76,492,-,-,22,45.7,29,22.2,91.7,8.3,91.8,8.2,23.6,4.9,20.3,4.7,4,5,8,6,4,4,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56370,Narembeen (S),2011,106,90,-,3,206,3,10,18,67,309,-,87,9,22,421,86,-,234,324,2.3,68,15,131,8,11,-,238,2.7,378,42,156,63.4,23.9,7.1,5.3,2,-,-,414,608,67.3,18.1,6.7,1.5,10.5,40.4,1.8,-,-,-,303,7,13,3,47.6,18.2,29.8,96.4,3.6,96.6,3.4,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56370,Narembeen (S),2012,106,159,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56370,Narembeen (S),2013,100,120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56370,Narembeen (S),2014,99,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56370,Narembeen (S),2015,108,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56370,Narembeen (S),2016,96,149,-,3,192,-,3,8,65,287,-,75,10,41,409,79,-,215,302,2.3,63,14,121,7,6,-,220,2.8,310,74,167,59.1,27.6,4.9,7,1.3,79.1,18.2,467,699,64,18.7,6.9,0.9,9.9,39.9,1.9,5,253,25,298,5,-,-,49.7,18.4,26.3,98.6,1.4,97.5,2.5,22.3,8.0,20.0,7.3,8,8,7,9,7,7,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56460,Narrogin (S),2011,757,50,-,13,1519,7,16,36,174,1797,34,116,27,235,2209,502,53,1271,1821,2.4,447,71,536,149,51,18,1281,3,1697,346,1229,49.4,33.7,6.6,7.1,3,-,-,762,1333,63.7,19.4,8,1.7,9.7,29.8,1.9,-,-,-,1614,73,120,11,33.7,31,31.6,94.2,5.8,90.8,9.2,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56460,Narrogin (S),2012,741,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56460,Narrogin (S),2013,703,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56460,Narrogin (S),2014,723,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56460,Narrogin (S),2015,687,105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
