Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"INCP Total Personal Income (weekly) by LGA (UR) by INDP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

" Negative income"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"LGA (UR)",
"Alice Springs (T)",10,7,38,26,161,35,134,118,97,34,18,26,109,77,369,178,415,47,116,52,15,122,2197,
"Barkly (R)",33,0,0,3,24,7,22,15,0,0,0,0,4,0,49,29,44,0,15,11,13,19,280,
"Belyuen (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Central Desert (R)",19,0,0,0,4,0,0,0,0,4,0,0,0,11,10,6,8,3,4,3,0,8,93,
"Coomalie (S)",0,0,0,0,3,0,7,6,7,0,0,0,5,0,8,9,0,0,7,6,0,16,66,
"Darwin (C)",38,44,206,61,556,146,371,506,319,87,79,115,334,231,1141,479,722,195,207,184,55,596,6661,
"East Arnhem (R)",0,4,0,0,0,0,16,6,0,0,0,0,0,7,5,22,10,0,5,5,0,0,80,
"Katherine (T)",23,6,7,4,60,10,35,38,21,4,8,8,28,23,151,50,104,7,17,7,5,42,674,
"Litchfield (M)",59,19,65,26,245,43,76,35,85,14,15,30,66,47,405,96,91,29,69,67,4,143,1740,
"MacDonnell (R)",5,0,5,0,0,0,5,19,0,0,0,0,4,7,23,11,15,4,6,4,0,5,109,
"Palmerston (C)",31,15,109,41,273,104,170,106,185,25,41,40,113,72,637,162,229,39,113,67,23,125,2725,
"Roper Gulf (R)",21,5,0,0,11,0,12,9,0,0,0,0,4,3,24,16,8,4,8,6,0,4,128,
"Tiwi Islands (R)",0,0,0,0,0,0,4,0,0,0,0,0,0,0,12,17,0,0,3,0,0,6,52,
"Victoria Daly (R)",25,0,0,4,8,0,0,6,3,0,0,0,0,3,13,4,12,0,5,6,3,9,89,
"Wagait (S)",0,0,0,4,5,0,0,0,0,0,0,3,0,0,9,0,0,4,0,0,0,3,30,
"West Arnhem (R)",0,4,0,0,0,0,10,22,3,0,0,0,3,7,23,10,28,5,3,7,0,3,135,
"West Daly (R)",0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,11,3,0,0,0,0,0,28,
"Unincorporated NT",23,20,11,4,28,9,15,112,41,0,4,9,3,30,37,45,55,12,13,17,5,17,505,
"No usual address (NT)",4,0,0,0,11,0,3,13,0,0,0,0,3,0,5,8,4,0,3,4,0,29,88,
"Migratory - Offshore - Shipping (NT)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Total",301,132,439,170,1381,358,876,1008,772,171,166,238,676,533,2911,1157,1739,365,582,450,123,1154,15696,


" $1,250-$1,499 ($65,000-$77,999)"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"LGA (UR)",
"Alice Springs (T)",7,4,20,31,129,27,65,55,69,26,12,20,81,50,345,179,333,33,80,37,9,55,1650,
"Barkly (R)",18,0,0,4,16,0,6,15,5,0,0,3,4,0,29,26,38,4,11,3,7,6,189,
"Belyuen (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
"Central Desert (R)",6,4,0,0,0,0,0,0,0,0,0,0,0,3,11,14,3,0,5,3,0,0,67,
"Coomalie (S)",0,6,0,0,0,0,0,4,5,0,0,0,0,0,0,15,0,0,0,4,0,6,42,
"Darwin (C)",35,51,114,59,514,98,185,187,242,69,88,87,313,133,1213,478,608,120,132,118,35,288,5162,
"East Arnhem (R)",0,3,0,6,0,0,3,0,0,0,0,0,0,3,8,14,15,0,6,4,0,0,60,
"Katherine (T)",23,0,3,4,62,12,15,10,17,3,3,11,18,13,195,63,81,7,18,6,4,11,592,
"Litchfield (M)",33,27,53,30,250,34,55,28,93,9,17,20,60,30,372,99,60,27,61,54,11,81,1502,
"MacDonnell (R)",6,0,0,0,0,0,10,8,0,0,0,0,0,4,15,19,18,8,0,5,0,3,102,
"Palmerston (C)",23,33,71,42,222,49,101,57,132,20,39,48,109,44,672,183,168,33,74,59,16,92,2302,
"Roper Gulf (R)",11,10,0,0,12,0,0,3,0,0,0,0,0,0,16,22,8,0,0,3,0,5,88,
"Tiwi Islands (R)",7,0,0,0,6,0,0,0,0,0,0,0,0,5,9,11,0,0,0,4,0,0,38,
"Victoria Daly (R)",21,0,0,0,6,4,7,9,3,0,0,0,0,10,5,5,8,5,3,0,0,4,76,
"Wagait (S)",0,3,0,0,3,0,0,0,7,0,0,0,4,0,6,3,3,0,3,0,0,4,33,
"West Arnhem (R)",0,7,0,0,7,0,9,9,0,0,0,0,3,3,18,11,18,13,9,6,0,8,120,
"West Daly (R)",0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,10,3,0,8,0,0,0,40,
"Unincorporated NT",16,30,14,3,16,3,13,52,16,4,4,8,8,24,56,41,40,5,15,10,0,16,392,
"No usual address (NT)",5,0,0,0,10,0,4,5,0,4,0,0,4,0,4,7,7,3,0,5,0,18,72,
"Migratory - Offshore - Shipping (NT)",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,
"Total",201,179,286,178,1254,223,488,442,582,131,165,204,611,327,2975,1194,1409,265,423,321,80,605,12548,


" $1,500-$1,749 ($78,000-$90,999)"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"LGA (UR)",
"Alice Springs (T)",4,7,19,25,122,14,37,27,53,19,10,15,71,21,375,181,294,22,54,32,3,46,1452,
"Barkly (R)",13,0,0,3,12,0,5,0,4,0,3,0,0,3,41,24,34,4,4,9,0,4,156,
"Belyuen (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Central Desert (R)",3,8,0,4,5,0,0,0,0,0,0,0,0,0,8,4,9,0,0,4,0,3,47,
"Coomalie (S)",0,0,0,0,3,0,0,0,3,0,0,0,0,0,8,9,4,3,0,0,0,7,50,
"Darwin (C)",29,60,104,77,490,83,129,91,159,77,66,71,297,78,1302,457,529,84,129,93,27,218,4650,
"East Arnhem (R)",0,0,0,0,6,0,7,0,0,0,0,0,0,0,13,23,7,4,0,0,0,7,64,
"Katherine (T)",16,0,9,7,42,3,19,5,22,0,0,11,16,6,229,49,73,0,16,8,0,14,546,
"Litchfield (M)",22,33,36,26,284,28,21,16,77,12,10,17,61,11,297,89,63,13,34,47,3,65,1273,
"MacDonnell (R)",5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,7,0,0,0,0,0,42,
"Palmerston (C)",16,41,62,41,246,41,58,22,115,18,28,43,103,21,649,180,114,25,82,58,15,50,2020,
"Roper Gulf (R)",10,9,0,0,8,0,8,0,8,0,0,0,0,3,14,25,4,3,3,8,0,0,88,
"Tiwi Islands (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,13,0,0,0,0,0,0,29,
"Victoria Daly (R)",13,0,0,0,3,0,0,0,0,0,0,0,0,0,12,6,4,0,0,0,0,0,50,
"Wagait (S)",0,0,0,0,6,0,0,0,0,0,0,0,3,4,7,0,9,0,5,0,0,0,31,
"West Arnhem (R)",0,17,0,5,4,0,3,5,0,0,0,0,0,0,20,28,11,6,7,8,0,3,103,
"West Daly (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,28,
"Unincorporated NT",13,43,9,0,27,4,8,29,15,0,4,9,9,7,45,26,32,4,9,7,3,8,322,
"No usual address (NT)",0,3,0,0,10,0,0,0,0,0,0,0,0,3,6,0,15,0,0,0,0,8,55,
"Migratory - Offshore - Shipping (NT)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"Total",148,234,249,183,1261,174,292,206,455,131,130,155,573,170,3042,1137,1204,160,339,270,63,437,11008,


" $1,750-$1,999 ($91,000-$103,999)"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"LGA (UR)",
"Alice Springs (T)",0,11,20,14,81,10,27,12,27,19,0,14,72,15,307,197,181,13,30,27,3,29,1109,
"Barkly (R)",3,0,0,4,4,0,4,0,0,0,0,0,0,0,35,27,21,0,0,4,0,3,124,
"Belyuen (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Central Desert (R)",6,9,0,0,0,0,0,0,0,0,0,0,0,0,8,12,4,0,0,0,0,0,37,
"Coomalie (S)",0,8,0,0,0,0,0,0,0,0,0,0,0,0,9,15,0,0,0,0,0,0,34,
"Darwin (C)",12,57,79,86,381,34,72,49,144,50,48,65,253,39,1010,577,384,46,67,81,18,144,3695,
"East Arnhem (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,33,6,0,0,0,3,4,63,
"Katherine (T)",5,3,7,5,22,6,8,0,5,0,0,3,8,3,136,63,34,3,8,4,0,3,334,
"Litchfield (M)",22,44,30,16,185,22,20,7,65,5,7,10,58,11,198,105,42,8,32,28,6,27,941,
"MacDonnell (R)",0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,19,10,6,0,0,0,5,51,
"Palmerston (C)",11,53,45,51,171,32,38,7,82,16,25,12,65,20,448,170,88,7,30,38,6,29,1422,
"Roper Gulf (R)",0,15,0,0,4,0,0,0,3,0,0,0,0,0,6,21,11,0,0,6,0,0,69,
"Tiwi Islands (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,25,
"Victoria Daly (R)",4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,0,0,0,0,0,26,
"Wagait (S)",0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,7,0,0,0,0,3,16,
"West Arnhem (R)",0,26,0,0,6,0,3,3,0,0,0,0,0,0,8,22,8,11,3,0,0,0,90,
"West Daly (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,16,
"Unincorporated NT",3,71,7,7,24,0,4,11,14,3,0,0,0,11,43,35,35,0,3,3,0,7,284,
"No usual address (NT)",0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,6,28,
"Migratory - Offshore - Shipping (NT)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Total",65,294,192,176,896,101,170,95,340,90,87,109,469,93,2232,1328,847,89,182,200,37,263,8361,


" $2,000-$2,999 ($104,000-$155,999)"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"LGA (UR)",
"Alice Springs (T)",0,21,23,57,89,12,36,7,41,10,8,10,127,8,435,151,246,17,34,17,4,35,1388,
"Barkly (R)",3,0,0,12,6,0,10,0,0,0,0,0,0,0,42,23,27,0,3,4,0,0,140,
"Belyuen (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Central Desert (R)",0,23,5,0,0,0,3,0,0,0,0,0,0,0,11,17,9,0,4,0,0,0,73,
"Coomalie (S)",0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,11,6,0,0,4,0,0,34,
"Darwin (C)",13,214,105,221,709,48,85,57,183,71,84,90,575,76,1586,508,551,31,77,117,23,185,5602,
"East Arnhem (R)",0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,26,6,0,0,0,0,6,65,
"Katherine (T)",11,14,4,16,35,4,9,5,11,0,3,0,12,5,154,36,44,0,9,9,0,10,388,
"Litchfield (M)",16,122,48,80,483,37,29,6,70,10,20,13,190,31,298,74,44,4,22,69,12,69,1755,
"MacDonnell (R)",3,3,0,0,5,0,0,0,0,0,0,0,0,0,13,17,8,4,0,0,0,0,54,
"Palmerston (C)",18,154,59,96,436,40,43,8,109,15,23,23,195,38,592,128,77,9,31,61,11,37,2210,
"Roper Gulf (R)",3,25,0,0,3,0,0,0,5,0,0,0,0,0,9,26,11,0,0,0,0,0,84,
"Tiwi Islands (R)",3,0,0,0,0,0,0,4,0,0,0,0,0,0,7,7,0,0,0,4,0,14,43,
"Victoria Daly (R)",7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,7,0,0,0,0,0,43,
"Wagait (S)",3,0,0,0,3,0,0,0,0,0,0,0,4,0,8,3,0,0,0,0,0,0,27,
"West Arnhem (R)",0,69,0,0,6,0,7,6,0,0,0,0,0,3,16,22,16,0,0,5,0,10,160,
"West Daly (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,4,0,0,0,0,0,19,
"Unincorporated NT",6,247,14,10,26,9,3,15,16,4,0,4,10,0,88,42,35,0,10,8,4,14,570,
"No usual address (NT)",0,5,3,0,13,0,0,0,0,0,0,0,8,0,9,6,5,0,0,0,0,8,55,
"Migratory - Offshore - Shipping (NT)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
"Total",83,907,265,503,1815,144,227,103,445,114,144,139,1132,165,3302,1121,1106,72,183,296,66,391,12721,


" $3,000 or more ($156,000 or more)"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"LGA (UR)",
"Alice Springs (T)",0,8,13,24,33,13,13,4,20,6,3,5,75,3,158,24,93,3,8,6,4,21,531,
"Barkly (R)",0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,8,9,0,0,0,0,8,50,
"Belyuen (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Central Desert (R)",0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,23,
"Coomalie (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,
"Darwin (C)",24,195,51,130,633,33,67,22,106,20,63,68,466,32,527,113,331,23,30,103,17,133,3188,
"East Arnhem (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,9,
"Katherine (T)",3,0,4,3,13,0,4,5,4,0,0,0,0,3,30,5,22,0,3,3,0,11,120,
"Litchfield (M)",8,98,22,38,327,19,14,5,19,0,21,8,197,8,75,14,27,6,9,35,3,25,977,
"MacDonnell (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,3,17,
"Palmerston (C)",7,107,34,44,370,20,25,4,27,0,11,6,180,15,118,13,42,0,8,48,0,29,1106,
"Roper Gulf (R)",0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,4,24,
"Tiwi Islands (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,
"Victoria Daly (R)",3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,
"Wagait (S)",0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,0,4,0,0,0,0,0,11,
"West Arnhem (R)",0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,
"West Daly (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,6,
"Unincorporated NT",5,146,13,7,27,4,0,9,0,0,5,0,12,7,19,5,31,0,0,11,0,5,298,
"No usual address (NT)",0,5,0,0,7,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,8,38,
"Migratory - Offshore - Shipping (NT)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Total",59,619,143,246,1432,78,121,56,182,26,105,93,937,79,966,186,563,38,60,212,31,261,6486,


" Not stated"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"LGA (UR)",
"Alice Springs (T)",0,0,0,0,21,0,16,19,6,0,0,0,7,9,16,14,38,4,6,21,41,2711,2930,
"Barkly (R)",6,0,0,0,5,0,3,4,0,0,0,0,0,6,3,13,11,0,10,9,3,721,786,
"Belyuen (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Central Desert (R)",5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,4,0,3,0,0,290,318,
"Coomalie (S)",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,261,270,
"Darwin (C)",8,3,8,7,57,14,51,54,26,3,4,4,30,23,63,34,53,8,14,49,151,7780,8422,
"East Arnhem (R)",0,8,0,0,8,0,13,3,0,0,0,0,0,3,38,31,19,5,44,0,50,1556,1783,
"Katherine (T)",5,0,3,0,11,0,5,4,10,0,0,0,0,0,9,0,8,0,10,9,7,1719,1793,
"Litchfield (M)",5,5,5,0,44,4,18,6,7,7,0,3,8,11,15,12,4,9,5,19,45,4312,4543,
"MacDonnell (R)",0,0,0,0,0,0,7,3,0,0,0,0,0,4,16,17,12,3,12,0,5,1687,1758,
"Palmerston (C)",0,4,6,0,28,6,9,13,8,0,8,4,6,6,32,19,15,5,6,22,66,2407,2672,
"Roper Gulf (R)",6,0,0,0,0,0,4,6,0,0,0,0,0,0,10,6,3,0,11,0,14,702,762,
"Tiwi Islands (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,157,165,
"Victoria Daly (R)",10,0,0,0,6,0,4,0,0,0,0,0,0,0,10,0,0,0,6,0,8,476,523,
"Wagait (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,36,
"West Arnhem (R)",0,3,0,0,0,0,3,4,0,0,0,0,0,0,8,9,12,3,3,3,19,896,953,
"West Daly (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,320,331,
"Unincorporated NT",11,7,0,0,3,0,0,6,4,0,0,0,0,0,0,3,3,0,0,0,13,959,1025,
"No usual address (NT)",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,531,545,
"Migratory - Offshore - Shipping (NT)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,22,
"Total",61,35,22,17,187,25,139,116,61,5,15,14,56,57,228,155,184,38,137,144,432,27523,29637,


" Not applicable"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"LGA (UR)",
"Alice Springs (T)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5186,5186,
"Barkly (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1742,1742,
"Belyuen (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,
"Central Desert (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077,1077,
"Coomalie (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,242,
"Darwin (C)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14550,14550,
"East Arnhem (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2589,2589,
"Katherine (T)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2191,2191,
"Litchfield (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4224,4224,
"MacDonnell (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1239,1239,
"Palmerston (C)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8713,8713,
"Roper Gulf (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1880,1880,
"Tiwi Islands (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,615,
"Victoria Daly (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764,764,
"Wagait (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,
"West Arnhem (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1636,1636,
"West Daly (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1037,1037,
"Unincorporated NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1474,1474,
"No usual address (NT)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,204,
"Migratory - Offshore - Shipping (NT)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,
"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49474,49474,


" Total"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"LGA (UR)",
"Alice Springs (T)",70,65,209,198,874,177,1011,833,548,170,85,177,703,379,2273,1286,2250,292,545,340,126,12143,24751,
"Barkly (R)",238,8,6,22,91,10,144,84,32,0,11,8,22,46,332,245,327,39,100,78,44,4760,6654,
"Belyuen (S)",4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,149,166,
"Central Desert (R)",89,41,7,7,28,0,46,6,0,17,0,0,0,30,180,115,101,23,62,26,13,2881,3672,
"Coomalie (S)",33,19,8,0,36,4,17,49,23,3,0,4,9,14,41,105,26,8,13,23,7,859,1318,
"Darwin (C)",219,667,1061,690,4122,737,3141,3384,1867,519,579,727,2829,1333,7688,3652,4766,1013,1306,1221,559,36722,78799,
"East Arnhem (R)",21,20,0,9,44,0,143,21,33,3,5,0,16,48,183,322,228,50,209,24,93,7548,9026,
"Katherine (T)",203,39,74,45,345,48,249,254,153,19,29,44,127,120,1031,413,600,32,167,98,35,5602,9719,
"Litchfield (M)",402,363,392,239,2263,262,704,401,604,75,120,164,802,317,1969,789,612,166,460,477,142,12111,23857,
"MacDonnell (R)",74,7,3,0,15,0,78,87,8,0,0,6,9,42,231,170,173,61,119,30,29,4885,6031,
"Palmerston (C)",138,428,565,352,2133,433,1414,889,920,165,247,303,961,507,3559,1267,1354,263,616,551,225,16489,33786,
"Roper Gulf (R)",163,85,7,7,50,5,80,81,25,4,3,0,11,36,227,227,159,28,116,35,84,5069,6504,
"Tiwi Islands (R)",17,0,0,0,13,0,38,9,4,0,0,5,0,10,91,133,71,5,82,12,34,1929,2452,
"Victoria Daly (R)",184,12,5,3,21,11,37,48,12,0,4,0,13,17,97,86,76,16,63,18,29,2064,2815,
"Wagait (S)",6,9,7,4,15,3,16,9,18,3,0,6,13,13,45,20,22,8,15,3,7,230,460,
"West Arnhem (R)",31,157,8,0,35,0,106,91,30,0,6,3,19,35,181,211,190,75,124,37,91,4743,6192,
"West Daly (R)",14,0,0,0,19,0,32,20,7,0,3,0,8,0,72,136,44,5,68,10,13,2711,3167,
"Unincorporated NT",143,590,82,32,200,31,182,590,199,17,21,35,76,146,344,325,326,52,104,102,39,3267,6908,
"No usual address (NT)",53,17,9,4,62,0,35,88,23,3,7,8,30,25,61,29,46,19,4,33,10,1915,2485,
"Migratory - Offshore - Shipping (NT)",6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,7,49,73,
"Total",2091,2522,2440,1631,10366,1737,7474,6954,4510,1005,1119,1497,5657,3122,18607,9535,11373,2156,4185,3138,1588,126126,228838,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
