"Taxation statistics 2015–16 Companies: Selected items, for income years 1980–81 to 2015–161,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-882,1988-892,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Royalty expenses within Australia,no.,na,na,na,na,na,na,na,na,na,na,na,"4,060","4,360","4,370","4,660","4,825","5,095","5,160","5,420","5,560","5,545","5,805","5,925","5,985","5,875","5,900","5,965","5,950","5,820","6,000","6,400","6,671","6,666","7,113","7,354","7,138"
Royalty expenses within Australia,$,na,na,na,na,na,na,na,na,na,na,na,"1,820,231,398","2,036,139,162","1,536,894,536","2,193,213,529","2,460,960,967","2,692,480,057","2,539,766,861","2,584,913,849","2,564,142,107","3,345,112,885","3,882,199,845","3,675,331,338","3,387,413,439","3,930,508,890","5,367,592,928","5,843,983,023","6,533,993,851","10,295,435,071","8,619,342,879","11,804,409,340","12,672,872,786","12,292,944,319","14,405,537,243","12,836,247,984","11,554,777,405"
Depreciation expenses,no.,na,na,na,na,na,na,na,na,na,"234,285","247,120","255,580","267,225","293,025","317,310","332,720","347,915","369,265","384,615","404,855","416,935","424,140","436,310","448,610","459,155","467,400","476,270","479,725","479,365","487,495","494,715","504,523","510,211","512,406","519,274","485,658"
Depreciation expenses,$,na,"3,767,628,000","3,898,397,000","5,831,451,000","6,936,187,000","8,377,604,000","10,403,078,000","7,705,000,000","7,247,000,000","11,350,136,869","15,237,059,823","16,252,612,897","17,490,377,768","21,107,553,774","17,871,257,493","21,317,027,552","23,593,557,145","26,364,738,404","28,563,357,588","31,472,053,586","35,552,073,820","36,566,039,683","38,642,572,987","41,420,338,436","43,682,539,230","46,906,838,741","51,054,731,129","55,887,992,036","61,701,298,947","63,835,664,809","68,482,086,039","73,986,785,386","82,816,676,241","84,308,788,926","90,426,683,515","94,792,105,432"
Motor vehicle expenses,no.,na,na,na,na,na,na,na,na,na,"187,350","196,580","201,655","211,110","229,365","244,635","253,030","263,030","279,280","291,955","307,610","321,180","330,285","337,555","344,525","352,840","358,740","365,030","368,165","365,805","373,105","379,430","389,571","400,505","412,906","419,633","408,163"
Motor vehicle expenses,$,na,na,na,na,na,na,na,na,na,"4,023,567,403","4,521,883,924","4,580,629,555","5,062,438,326","6,483,628,400","5,411,429,188","5,947,505,656","6,191,456,733","6,695,499,859","6,928,067,212","7,425,988,401","7,509,586,406","7,629,813,905","8,013,441,532","8,181,321,001","8,972,961,646","10,074,090,412","10,593,588,733","11,590,438,797","11,688,237,570","11,689,716,563","12,619,412,360","13,121,802,245","13,504,448,466","14,004,110,200","13,651,368,149","12,662,417,062"
Repairs and maintenance,no.,na,"109,445","111,635","116,545","129,970",na,na,na,na,"179,975","188,275","195,660","204,590","223,175","239,275","248,780","256,445","268,465","276,945","286,110","294,145","301,000","305,840","307,470","308,080","306,620","306,645","304,720","299,265","300,635","302,735","306,466","311,408","318,345","322,726","314,018"
Repairs and maintenance,$,"2,541,178,000","2,611,704,000","2,852,667,000","3,059,729,000","3,442,914,000",na,na,na,na,"6,237,013,164","8,121,503,245","8,539,895,395","9,430,888,622","14,543,036,708","9,161,690,252","11,473,521,433","11,230,741,773","11,606,290,515","11,892,369,937","12,705,066,255","13,026,416,373","13,516,014,647","14,110,123,425","14,031,858,871","14,310,225,568","15,499,311,358","16,457,363,991","17,150,885,661","18,943,876,028","19,779,200,752","20,918,296,434","22,415,348,527","23,108,360,112","23,215,591,746","23,337,218,105","22,322,684,740"
Unrealised losses on revaluation of assets to fair value,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"2,680","2,570","3,640","3,955","2,640","2,485","2,806","2,371","2,422","2,512","3,862"
Unrealised losses on revaluation of assets to fair value,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"9,719,274,119","9,914,366,885","42,755,359,664","70,316,954,292","22,255,303,348","20,119,927,970","20,542,132,433","21,600,942,109","32,007,295,191","48,329,744,070","55,027,191,095"
Expenses from financial arrangements (TOFA),no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,215,315,735,"1,031","1,131","1,227",na
Expenses from financial arrangements (TOFA),$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"533,074,830","15,267,269,936","19,229,088,044","61,327,486,095","30,561,234,297","27,049,500,787",na
All other expenses,no.,na,na,na,na,na,na,na,na,na,"347,350","364,085","374,650","391,405","424,015","457,205","481,030","505,170","536,190","561,735","590,050","617,930","640,775","658,150","673,215","695,410","713,365","731,835","743,470","740,990","754,780","773,300","798,230","821,937","850,900","868,784","845,367"
All other expenses,$,na,na,na,na,na,na,na,na,na,"174,472,061,680","237,488,673,375","218,081,390,924","223,277,565,550","236,660,093,673","264,102,438,088","277,876,332,332","329,395,896,888","359,432,060,030","397,454,638,179","434,288,724,532","481,337,804,066","498,226,357,325","488,917,330,781","490,484,633,796","503,923,989,474","518,721,728,345","593,505,212,082","653,713,649,358","719,459,866,671","647,241,076,107","691,941,868,951","739,591,568,441","767,375,745,298","793,011,604,123","830,543,968,649","873,942,255,727"
Total expenses4,no.,na,na,na,na,na,na,na,na,na,"354,315","371,010","380,705","398,915","431,180","463,865","487,075","511,845","543,450","568,730","597,970","626,200","648,940","666,260","681,010","703,265","723,715","742,730","754,670","751,575","764,880","782,845","808,091","831,865","861,056","878,598","855,433"
Total expenses4,$,na,na,na,na,na,na,na,na,na,"646,597,463,112","727,021,005,968","690,225,269,167","712,030,012,020","758,318,925,216","831,721,830,709","912,691,900,941","986,627,208,955","1,070,622,650,674","1,160,800,858,606","1,264,788,725,231","1,361,776,063,127","1,443,565,741,898","1,463,477,222,241","1,494,196,302,341","1,586,128,181,278","1,707,105,101,344","1,906,102,282,191","2,126,448,233,730","2,287,277,434,603","2,112,278,085,641","2,271,338,808,744","2,420,624,403,975","2,537,672,917,218","2,545,607,838,564","2,639,341,560,563","2,664,946,170,472"
Total profit or loss,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"490,950","514,625","545,120","570,365","598,350","622,005","648,460","667,800","685,295","706,680","715,360","743,175","756,430","752,990","763,435","778,710","803,237","826,335","856,936","875,140","852,443"
Total profit or loss,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"97,917,345,549","95,241,800,661","114,938,837,135","151,106,772,184","135,892,239,907","119,214,590,185","121,037,058,601","141,478,007,213","133,697,039,416","156,261,929,230","192,570,744,396","227,329,895,495","212,202,689,960","126,696,678,422","200,958,987,467","242,487,582,931","230,231,519,751","227,255,495,223","213,905,577,582","186,409,545,909","187,786,023,643"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reconciliation to taxable income or loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net capital gain,no.,na,na,na,na,na,na,"2,035",na,"5,295","7,830","6,825","7,285","8,395","12,260","11,360","13,365","17,105","20,250","21,955","23,780","23,350","23,615","20,190","25,255","28,710","29,240","33,725","30,205","15,860","16,470","16,165","14,059","14,738","16,724","18,768","18,420"
Net capital gain,$,na,na,na,na,na,na,"145,546,000",na,"648,000,000","1,156,769,432","753,454,535","1,916,598,093","968,964,019","2,461,467,790","1,879,468,955","2,478,048,415","3,619,576,984","4,916,210,134","7,160,495,362","8,528,210,367","8,296,043,340","5,689,652,673","4,709,736,632","6,109,796,267","8,910,148,424","15,860,973,044","24,988,893,678","20,063,926,903","12,364,088,772","8,208,534,031","9,006,666,649","7,862,433,379","11,970,825,567","9,715,848,325","20,722,268,012","16,717,056,715"
Non-deductible exempt income expenditure,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"2,740","1,665","2,290","1,405","1,315","1,600","1,580","1,575","1,690","1,775","1,680","1,635","1,520","1,390","1,912","1,642","1,435","1,377","1,278"
Non-deductible exempt income expenditure,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"15,404,574,181","2,611,757,886","6,472,214,111","5,510,118,575","5,000,436,522","3,776,444,461","8,389,464,047","11,782,837,959","9,141,910,948","6,971,672,638","8,627,225,455","7,297,692,420","7,964,749,714","9,207,981,779","9,266,133,747","8,761,706,736","7,735,820,845","1,433,182,184","1,676,129,865"
Franking credits,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"40,090","45,405","47,370","47,770","47,815","46,685","46,815","44,405","43,720","43,479","43,343","44,691","44,749","44,631"
Franking credits,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"8,016,375,845","5,032,757,123","4,697,058,832","6,087,318,820","7,377,855,348","7,256,660,361","7,881,734,505","7,026,913,402","11,406,808,645","10,853,340,546","6,569,045,746","10,541,234,121","7,761,503,187","12,763,195,158"
Australian franking credits from a New Zealand company,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,175,285,230,230,210,180,175,200,361,355,264,321,236
Australian franking credits from a New Zealand company,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"20,444,287","6,502,853","7,566,180","6,953,116","12,295,898","9,958,381","5,079,249","6,242,821","5,679,037","10,378,169","1,397,687","7,379,685","15,093,148"
TOFA income from financial arrangements not included in item 6,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15,115,260,291,308,285,253
TOFA income from financial arrangements not included in item 6,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"434,036,390","2,262,995,704","3,585,260,316","3,706,491,082","4,632,096,621","3,924,320,156","3,217,166,653"
Other assessable income,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"47,840","26,235","25,240","27,725","33,275","39,265","43,230","44,350","45,795","47,230","47,205","46,805","47,045","45,713","47,003","47,303","47,903","47,049"
Other assessable income,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"73,486,435,206","69,009,333,219","90,586,198,621","88,620,783,347","88,787,932,431","79,846,204,435","75,507,788,770","80,632,190,107","101,584,834,669","108,819,657,903","118,964,372,530","114,543,772,481","82,747,320,544","85,048,766,202","65,646,911,350","67,120,878,728","77,184,143,220","81,143,854,373"
Non-deductible expenses,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"375,460","424,475","437,345","453,265","457,140","462,920","472,840","477,240","484,190","489,790","481,000","488,010","496,530","505,345","507,427","517,284","521,890","495,663"
Non-deductible expenses,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"116,777,509,400","120,963,906,741","159,575,924,801","167,781,714,126","229,515,586,459","187,849,354,876","176,971,435,104","222,244,616,894","227,082,252,401","287,439,158,774","403,133,393,758","278,700,394,943","262,963,771,848","278,107,150,257","303,194,313,482","325,503,401,787","372,465,772,173","361,487,313,898"
Accounting expenditure in item 6 subject to R&D tax incentive,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"3,195","4,095","4,375","4,435","4,730","5,035","5,575","6,125","7,120","7,620","7,845","9,617","10,997","12,130","12,237"
Accounting expenditure in item 6 subject to R&D tax incentive,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"3,707,284,053","5,043,667,827","5,673,680,172","6,212,538,578","7,386,006,926","9,055,502,020","11,211,663,370","12,862,993,238","14,377,213,221","15,338,928,106","13,899,371,703","18,145,756,489","16,256,698,451","15,229,680,375","12,294,522,904"
Subtotal,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"771,095","788,090","813,155","835,718","866,459","884,568","860,710"
Subtotal,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"629,134,805,522","635,428,299,027","638,859,654,938","645,260,923,844","655,412,954,147","684,609,862,697","677,100,356,357"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Less:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section 46FA deductions for flow-on dividends,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"1,065","1,610",530,430,325,225,220,170,165,135,120,124,49,49,40,51
Section 46FA deductions for flow-on dividends,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"238,635,632","1,554,413,642","95,853,461","39,251,295","38,831,103","75,307,969","59,774,732","17,635,157","69,367,021","9,632,900","41,179,666","8,222,725","38,180,495","46,564,824","23,735,170","25,452,562"
Deduction for decline in value of depreciating assets,no.,na,na,na,na,na,na,na,na,na,"86,870","122,050","136,210","148,380","68,445","36,810","30,265","29,440","353,740","368,255","392,375","403,365","396,030","418,180","421,225","434,490","440,080","445,905","451,430","439,710","444,670","450,140","454,648","445,804","446,492","444,682","407,740"
Deduction for decline in value of depreciating assets,$,na,na,na,na,na,na,na,na,na,"11,119,755,217","14,697,259,272","15,516,478,313","17,617,111,486","16,488,824,962","16,534,733,813","18,998,421,336","21,127,606,805","29,918,535,179","33,069,021,291","36,944,640,498","38,871,777,908","40,314,082,306","42,165,971,839","44,190,788,217","44,595,540,083","46,414,726,425","49,385,683,899","56,741,026,298","62,441,646,183","64,364,604,744","71,472,094,810","72,304,885,866","85,764,810,791","89,563,163,903","94,284,322,750","101,104,358,539"
Forestry managed investment scheme deduction,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,245,185,145,95,66,71,43,47,35
Forestry managed investment scheme deduction,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"529,679,415","26,820,119","5,302,584","2,092,870","11,715,905","5,681,506","6,090,173","26,485,747","12,065,900"
Immediate deduction for capital expenditure,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,810,715,615,910,"1,195","3,940","2,830","2,720","2,505","2,400","2,480","2,105","2,325","2,255","1,975","2,016","4,375","3,035","3,966","5,549"
Immediate deduction for capital expenditure,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"1,543,637,677","2,329,753,393","1,674,139,114","3,406,374,683","2,986,344,235","2,488,459,035","1,810,613,267","2,041,637,910","2,337,426,228","3,606,132,019","4,876,126,927","6,025,550,704","10,146,940,288","14,663,118,323","9,112,392,404","10,556,853,299","10,312,373,414","7,865,938,799","5,787,490,954","4,273,095,401"
Deduction for project pool,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,870,610,630,560,570,555,380,380,400,415,406,458,437,448,469
Deduction for project pool,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"171,227,040","273,617,455","313,874,751","287,454,700","404,094,843","743,518,224","792,463,387","1,468,745,454","1,608,428,690","2,028,897,299","1,865,595,769","1,953,462,914","2,950,615,675","2,420,471,520","2,545,156,623"
Capital works deductions,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"9,830","13,075","12,160","11,935","11,610","11,360","11,235","11,095","11,400","11,855","12,195","12,297","12,830","13,427","14,021","14,005"
Capital works deductions,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"842,750,820","1,025,448,993","1,039,084,839","1,082,633,828","1,144,162,504","1,268,884,115","1,418,773,849","1,492,987,719","1,711,917,195","1,905,275,674","2,067,994,724","2,198,186,442","2,355,318,748","2,524,092,281","2,794,182,574","3,042,779,206"
Section 40-880 deduction,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"2,450","4,570","6,940","9,220","11,575","13,255","14,395","15,285","16,390","16,960","17,468","17,780","18,927","19,651","18,890"
Section 40-880 deduction,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"90,610,220","189,230,802","344,957,443","535,821,751","1,002,522,881","1,195,227,009","1,803,463,040","2,116,911,804","2,476,935,573","2,880,129,612","2,811,529,489","2,587,795,381","2,447,435,074","2,292,701,522","2,495,218,415"
Landcare operations and deduction for decline in value of water facility,no.,na,na,na,na,na,na,na,na,na,na,na,275,245,95,55,50,25,410,540,530,505,525,550,565,580,665,595,550,525,500,475,430,380,374,419,491
Landcare operations and deduction for decline in value of water facility,$,na,na,na,na,na,na,na,na,na,na,na,"11,452,332","5,574,661","9,643,649","5,472,026","6,286,280","836,901","21,823,233","27,971,209","38,682,111","41,394,242","50,457,521","44,566,216","31,376,887","43,822,679","49,000,775","59,499,037","62,110,816","62,725,960","59,103,731","48,687,388","535,406,882","49,766,232","46,123,247","65,329,584","141,526,774"
Deduction for environmental protection expenses,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,35,35,39,40,44,35,38
Deduction for environmental protection expenses,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"51,584,638","82,574,033","47,878,987","24,946,222","51,726,104","54,128,191","55,188,571"
Offshore banking unit adjustment,no.,na,na,na,na,na,na,na,na,na,na,na,na,380,160,105,55,65,55,45,80,55,60,45,40,35,40,50,45,45,45,55,48,41,49,48,45
Offshore banking unit adjustment,$,na,na,na,na,na,na,na,na,na,na,na,na,"56,623,257","59,622,875","217,378,663","60,072,939","73,106,357","247,530,964","247,330,248","230,078,113","129,494,530","162,999,684","179,433,060","249,553,828","295,336,927","539,200,799","1,071,842,364","1,009,556,529","894,664,227","374,042,789","386,402,279","603,158,513","637,198,491","787,754,301","952,434,630","1,079,713,744"
Exempt income,no.,na,"6,995","6,820","6,305","5,535","5,500","3,890",na,na,na,na,na,na,na,na,na,na,"2,830","4,370","6,515","7,420","4,265","3,745","3,280","3,355","3,405","3,260","3,025","2,755","2,635","2,375","2,143","1,981","3,732","3,752","3,553"
Exempt income,$,"1,159,988,000","1,426,798,000","2,155,361,000","2,883,822,000","2,825,406,000","4,436,316,000","7,411,553,000",na,na,na,na,na,na,na,na,na,na,"11,104,983,627","18,424,666,243","19,700,182,210","23,263,959,350","11,929,926,795","20,061,844,669","13,126,643,755","16,846,588,611","14,575,898,603","12,702,746,768","13,099,160,457","12,330,315,219","10,667,270,405","11,825,233,549","11,917,929,062","11,201,169,554","13,217,932,193","4,009,645,156","4,280,971,644"
Other income not included in assessable income,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"36,160","35,175","36,725","43,325","44,700","47,190","49,280","49,165","50,780","50,660","48,610","51,930","53,830","54,658","56,957","58,863","61,187","59,489"
Other income not included in assessable income,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"65,559,360,008","55,096,811,111","100,843,750,719","107,175,962,277","98,322,646,083","94,399,274,112","102,128,473,792","116,189,576,813","147,868,441,822","184,356,405,069","188,058,504,454","153,723,796,276","129,800,688,668","151,381,888,378","161,776,712,070","146,184,479,772","175,400,463,438","161,807,471,811"
TOFA deductions from financial arrangements not included in item 6,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,45,130,281,348,386,384,361
TOFA deductions from financial arrangements not included in item 6,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"460,229,038","2,135,281,048","4,743,971,384","5,724,889,693","7,104,043,094","6,584,891,111","7,294,489,660"
Other deductible expenses,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"68,265","77,725","74,535","88,995","83,365","85,155","87,460","95,455","100,085","104,985","108,990","109,020","112,080","118,912","124,770","132,871","140,853","143,928"
Other deductible expenses,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"79,430,760,522","90,197,777,416","77,999,780,728","77,512,365,578","153,981,009,852","108,579,978,235","103,552,385,498","148,496,479,142","142,863,013,609","156,849,993,486","181,337,380,771","179,284,701,896","140,397,979,062","123,857,232,265","126,994,134,874","126,547,052,503","141,682,750,106","138,833,185,978"
Tax losses deducted,no.,na,"51,250","48,335","55,705","62,630","62,935","57,395","17,380","27,360",na,na,na,na,na,na,"82,370","93,725","99,695","99,785","106,320","103,190","130,480","132,400","139,315","135,165","138,190","144,385","147,580","137,460","149,780","168,230","163,712","157,994","164,233","169,907","163,108"
Tax losses deducted,$,"849,493,000","848,711,000","851,273,000","1,567,330,000","2,597,352,000","2,053,074,000","2,137,317,000","734,000,000","664,000,000",na,na,na,na,na,na,"4,645,951,953","5,200,984,031","6,803,409,225","6,941,836,082","7,021,482,062","8,381,214,778","10,281,102,672","12,096,973,335","17,343,431,953","13,704,813,225","12,599,684,854","15,486,353,613","13,462,624,815","15,629,501,006","15,261,809,778","23,133,100,850","21,594,337,488","18,845,681,537","18,876,663,262","20,616,434,508","22,020,662,371"
Tax losses transferred in (from or to a foreign bank branch or a PE of a foreign financial entity),no.,na,na,na,na,"1,645","3,285","3,645","1,725","2,285",35,640,"4,145","14,160","11,495","10,160","32,495","13,310","12,795","19,310","20,195","9,925","9,400","7,520","2,290","3,105","2,770","2,375","2,370","2,030","2,165","2,280","2,144","2,294","2,133","2,128","1,873"
Tax losses transferred in (from or to a foreign bank branch or a PE of a foreign financial entity),$,na,na,na,na,"498,394,000","1,662,275,000","2,867,929,000","1,744,000,000","2,490,000,000","10,557,011","1,307,135,416","5,324,562,346","9,223,435,284","9,484,019,072","9,987,044,087","12,294,479,365","11,940,529,441","12,159,460,380","14,449,048,846","16,435,711,063","21,411,191,469","20,153,543,840","12,738,168,000","11,454,249,184","198,498,371","486,158,455","1,058,769,609","589,989,795","684,287,381","1,102,973,668","677,610,507","743,060,173","486,831,972","208,513,774","175,138,051","76,406,855"
Subtraction items subtotal,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"531,355","539,490","545,903","545,217","557,122","565,010","536,875"
Subtraction items subtotal,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"474,391,886,591","420,588,022,198","405,784,872,746","428,758,953,894","418,428,188,979","457,170,605,012","449,087,744,054"
Taxable income or loss,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"653,335","658,265","684,342","709,275","733,560","749,391","733,572"
Taxable income or loss,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"159,652,457,974","217,161,224,207","234,841,501,399","216,506,886,201","236,954,914,495","227,440,898,677","228,017,982,267"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial and other information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opening stock,no.,na,na,na,na,na,na,na,na,na,"94,680","99,725","101,745","104,285","113,290","120,850","123,865","124,245","126,620","126,670","127,840","129,035","132,650","133,805","135,355","136,700","137,570","136,515","135,070","132,675","133,290","132,975","135,577","136,250","137,985","138,941","134,288"
Opening stock,$,na,"23,113,219,000","25,005,648,000","28,697,018,000","30,305,113,000","32,521,948,000","33,513,102,000","20,353,000,000","23,469,000,000","50,485,274,150","64,791,064,356","62,075,389,729","55,896,191,095","62,210,347,818","65,030,003,936","73,345,788,276","78,135,026,338","78,268,049,985","91,562,990,283","88,913,172,872","621,510,056,575","133,143,512,510","123,829,422,948","126,682,618,064","137,782,450,808","167,995,313,660","188,319,577,235","221,982,512,521","236,876,832,167","221,424,937,841","213,113,810,601","184,085,337,366","190,279,705,221","202,898,405,849","205,839,491,878","205,632,830,925"
Purchases and other costs,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"144,605","161,845","171,210","178,020","183,565","188,030","193,985","197,270","197,955","198,330","197,400","193,545","194,400","197,405","202,250","207,722","213,511","216,987","211,171"
Purchases and other costs,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"443,054,415,227","375,950,376,181","448,562,610,078","630,314,292,494","571,905,472,874","564,651,364,178","555,109,245,776","627,956,138,162","675,498,136,135","732,050,720,433","1,197,645,582,374","875,155,191,823","804,000,482,363","956,598,466,726","938,738,828,695","980,435,720,604","961,282,335,298","1,000,672,183,365","1,019,108,998,259"
Closing stock,no.,na,na,na,na,na,na,na,na,na,"99,895","103,485","106,070","109,000","120,180","125,955","127,775","128,750","131,685","132,105","133,320","135,885","138,245","139,350","141,140","141,790","140,625","139,525","137,690","135,505","135,985","136,935","139,052","141,112","142,979","143,964","138,081"
Closing stock,$,na,"25,353,397,000","24,856,531,000","31,055,903,000","34,677,907,000","36,794,045,000","34,934,384,000","23,431,000,000","26,906,000,000","56,652,550,981","64,989,715,603","62,894,274,139","58,350,732,323","67,355,911,887","78,505,173,178","76,728,904,982","81,155,802,444","84,014,705,491","84,053,452,591","96,734,406,605","138,673,383,745","117,289,969,923","131,939,090,226","142,607,135,593","165,250,275,189","185,072,480,707","213,305,454,163","242,836,992,243","233,208,808,547","221,278,397,936","187,978,313,016","194,342,173,158","205,381,872,018","208,747,138,246","211,893,524,413","218,727,488,855"
Trade debtors,no.,na,na,na,na,na,na,na,na,na,"142,300","133,000","133,515","137,815","153,535","165,270","171,945","177,105","183,785","188,075","202,955","209,965","202,815","202,850","202,370","204,080","205,815","209,030","209,765","206,895","209,215","212,135","216,335","221,706","226,168","229,906","224,316"
Trade debtors,$,na,na,na,na,na,na,na,na,na,"204,906,950,680","116,148,081,297","167,832,176,842","123,341,269,092","107,935,445,678","144,016,886,675","117,476,114,048","120,778,028,379","121,875,601,076","377,713,782,053","302,993,257,058","160,539,195,600","149,647,982,098","155,900,052,621","159,912,321,603","155,926,555,614","197,214,545,178","206,710,036,400","233,992,696,771","227,140,329,843","226,344,507,461","244,761,671,734","270,125,654,804","286,235,552,670","264,192,891,200","271,901,235,718","264,215,168,176"
All current assets,no.,na,na,na,na,na,na,na,na,na,"337,595","346,085","349,875","362,265","409,920","445,920","461,160","481,595","505,190","525,710","550,785","573,755","591,185","601,390","608,465","622,880","635,100","647,985","655,015","652,020","663,165","676,745","696,464","713,367","733,892","750,112","730,210"
All current assets,$,na,na,na,na,na,na,na,na,na,"449,635,188,365","517,702,657,335","506,804,898,492","522,829,550,304","571,249,665,716","693,697,092,377","698,119,676,949","763,002,656,342","779,539,094,837","798,069,101,339","1,004,896,860,961","1,407,472,305,035","1,579,795,450,155","1,712,722,895,629","1,384,698,464,694","1,298,163,660,770","1,494,549,937,959","1,759,307,711,041","1,991,920,471,848","2,010,486,893,888","1,764,600,725,385","1,936,867,365,353","1,932,025,699,846","1,968,512,090,490","1,994,125,454,468","2,323,681,606,884","2,230,042,971,184"
Total assets,no.,na,na,na,na,na,na,na,na,na,"363,760","371,480","374,805","387,650","433,060","470,760","488,885","512,195","539,775","557,545","579,125","601,440","619,410","628,290","633,590","647,505","659,635","672,745","680,030","676,795","688,115","701,745","721,392","737,619","758,190","773,867","752,347"
