Female,Non Taxable,g. 45 - 49,"b. $6,001 to $10,000","a. $18,200 or less","13,519","13,519","109,021,639",17,"3,424",0,0,0,0,0,0,0,0,2,"5,125","7,946","65,627,413","6,264","6,045,320","1,281","2,359,286",72,"187,982",71,"118,763","1,352","7,793,999",264,"1,307,443",36,"162,823",36,"187,976","7,414","9,824,467",829,"217,855","2,687","3,373,161","2,681","1,443,713","13,519","117,966,487",681,"1,020,591",154,"125,534","2,060","410,350",146,"289,162","2,159","1,028,722","3,281","2,874,359",170,"67,744",183,"410,967",163,"423,695","1,569","485,413","2,918","853,216","5,705","6,003,486",278,"5,997,981",221,"727,548",201,"-766,623","1,784","6,376,852",653,"510,327",244,"1,584,289",16,"507,386",333,"4,362,098",640,"2,068,772",0,0,845,"6,606,784",881,"23,285,523",768,"1,225,174",702,"593,465",637,"81,861","2,285","34,224,504","1,854","16,884,032",995,"2,256,128","2,286","16,326,514","1,152","6,334,444","1,152","-7,576,614","2,305","-1,242,170",195,"586,643",134,"391,687",48,"321,494",181,"557,519","2,349","62,649,331","2,152","52,454,605","2,384","7,668,047",0,0,0,0,0,0,17,"3,164",0,0,"1,708","22,313,737",234,"2,364,376",2,"5,167","7,523","6,350","3,939,598",567,"184,607",842,"309,721"
Female,Non Taxable,g. 45 - 49,"c. $10,001 to $18,200","a. $18,200 or less","41,097","41,097","595,863,653",116,"25,750",0,0,1,169,0,0,0,0,11,"26,512","27,373","359,529,118","23,156","30,949,450","5,144","11,044,817",276,"1,030,742",278,"561,412","8,562","85,361,758","1,218","9,112,100",113,"591,787",124,"1,244,596","21,743","25,636,779","2,060","684,946","6,856","9,091,895","6,831","3,883,669","41,097","624,924,714","3,192","5,412,278",748,"565,562","9,159","1,933,997",630,"1,136,006","9,175","4,743,413","13,807","13,791,256",481,"232,221",528,"1,198,864",407,"1,013,809","5,631","1,417,223","10,185","2,729,394","20,467","23,704,790","1,543","35,844,466",902,"2,943,801",596,"-2,934,617","5,134","36,740,666","1,649","1,849,670",719,"5,984,472",54,"782,599",885,"9,216,869","1,560","5,952,752",0,0,"1,994","20,787,201","2,344","69,601,279","1,841","3,842,904","1,676","1,971,744","1,507","159,750","6,397","95,897,403","5,173","46,939,392","2,738","6,295,947","6,387","44,509,184","2,908","19,718,987","3,545","-21,566,107","6,460","-1,847,120",669,"2,496,280",335,"1,594,611",176,"1,809,728",668,"1,476,520","7,028","223,075,737","6,626","165,459,426","7,151","52,496,828",0,0,0,0,1,15,111,"24,658",0,0,"5,517","78,408,788",724,"7,921,991",9,"58,175","21,455","18,480","11,179,962","1,657","522,644","2,367","843,408"
Female,Non Taxable,g. 45 - 49,"d. $18,201 to $25,000","b. $18,201 to $37,000","24,854","24,854","497,343,386","24,840","8,554,699",59,"7,161",0,0,0,0,0,0,6,"15,851","17,382","282,435,384","14,701","23,977,151","3,935","15,068,632",152,"594,106",165,"273,737","6,204","57,776,659","2,628","36,367,213",71,"501,753",75,"944,735","12,684","12,675,733","1,021","479,278","3,586","5,069,710","3,576","2,170,411","24,854","520,148,688","3,029","5,092,776",595,"543,679","7,543","1,742,889",502,"920,050","7,432","3,928,447","10,861","12,227,841",284,"142,522",359,"553,681",194,"483,397","4,557","1,148,520","7,392","1,824,291","14,733","19,800,198","1,107","26,039,607",593,"2,781,304",412,"-225,491","3,243","35,542,882",871,"1,291,212",424,"4,214,255",24,"358,731",463,"4,687,094",818,"3,872,174",0,0,"1,034","14,296,566","1,301","33,045,540",920,"3,266,775",833,"1,671,222",789,"175,032","3,180","49,460,181","2,650","26,084,748","1,365","3,347,976","3,181","22,848,045","1,363","9,221,455","1,853","-12,042,043","3,223","-2,820,588",435,"2,514,582",178,"1,202,729",207,"2,490,964",446,"916,505","4,352","161,715,981","4,151","109,376,865","4,416","49,361,791",0,0,11,"2,526",308,"3,864","19,248","5,074,015",3,169,"3,402","48,288,872",516,"5,429,090",4,"22,495","12,033","10,806","6,550,286",911,"265,017","1,230","386,124"
Female,Non Taxable,g. 45 - 49,"e. $25,001 to $30,000","b. $18,201 to $37,000","1,856","1,856","50,868,619","1,854","3,244,500",24,"11,446",1,122,0,0,0,0,0,0,"1,389","19,245,236","1,225","1,779,382",299,"289,115",9,"8,674",20,"32,027",709,"5,422,096","1,612","19,770,271",13,"214,978",6,"62,794",844,"528,166",40,"4,978",168,"106,393",167,"45,565","1,856","52,220,079",254,"381,543",56,"29,972",631,"148,505",59,"92,713",568,"305,136",836,"957,869",8,"3,135",25,"19,585",4,"2,262",437,"111,349",703,"152,543","1,166","1,299,938",43,"691,360",37,"41,061",6,"44,251",57,"328,977",27,"18,612",41,"264,022",2,"14,383",28,"120,467",32,"99,375",0,0,41,"217,055",42,"1,262,463",54,"636,726",37,"238,991",48,"68,948",96,"1,476,131",75,"626,376",29,"56,432",92,"578,054",56,"370,966",41,"-155,697",97,"215,269",20,"60,850",18,"108,706",8,"27,667",25,"25,528",264,"6,464,799",257,"3,941,829",267,"2,467,353",0,0,8,"10,116",5,130,318,"95,080",1,168,421,"6,380,585",78,"688,763",1,"8,000",564,538,"325,227",39,"9,939",30,"1,769"
Female,Non Taxable,g. 45 - 49,"f. $30,001 to $37,000","b. $18,201 to $37,000",795,795,"25,017,730",794,"2,001,117",23,"14,861",0,0,0,0,0,0,0,0,636,"11,704,640",601,"1,135,521",143,"198,884",5,"8,912",10,"25,016",221,"1,191,335",742,"8,549,407",12,"268,577",6,"87,856",380,"284,700",12,"2,286",76,"82,484",76,"35,330",795,"25,767,420",141,"230,887",28,"20,728",312,"78,537",29,"30,947",279,"175,656",424,"536,755",7,987,8,"7,697",1,"1,480",205,"58,977",318,"59,869",541,"710,567",6,"64,022",19,"14,720",1,"16,282",20,"119,557",9,"31,679",10,"100,685",1,"15,975",7,"104,011",6,"5,521",0,0,11,"18,113",12,"180,139",35,"852,499",24,"353,020",35,"119,146",44,"681,039",36,"248,545",9,"15,287",44,"236,618",31,"242,059",13,"-61,470",44,"180,589",5,"12,032",1,62,2,"31,001",11,"13,801",109,"3,541,682",109,"2,132,042",109,"1,294,682",0,0,9,"20,647",11,469,781,"208,808",1,59,166,"2,433,042",35,"451,272",1,"4,667",263,249,"152,526",21,"5,010",17,"2,280"
Female,Non Taxable,g. 45 - 49,"g. $37,001 to $40,000","c. $37,001 to $80,000",21,21,"802,288",21,"83,231",13,"9,972",0,0,0,0,0,0,1,"2,899",8,"156,489",6,"19,970",3,"1,807",1,326,0,0,2,"3,981",4,"24,137",3,"112,866",1,"38,134",12,"17,173",1,4,4,644,4,274,21,"828,922",3,"5,512",0,0,3,578,1,432,4,"1,718",7,"8,240",0,0,0,0,0,0,7,"2,760",10,"1,567",14,"26,634",2,"56,248",0,0,0,0,3,"-33,880",1,16,0,0,0,0,0,0,1,"20,485",0,0,2,"43,605",3,"89,416",13,"476,143",10,"223,647",14,"61,072",1,"1,196",0,0,0,0,1,458,1,738,0,0,1,738,0,0,1,"2,565",0,0,2,"14,067",0,0,0,0,0,0,0,0,4,"14,150",0,0,21,"8,936",1,8,5,"71,120",1,"23,524",0,0,13,13,"10,280",0,0,1,820
Female,Non Taxable,g. 45 - 49,"h. $40,001 to $45,000","c. $37,001 to $80,000",15,15,"631,944",15,"78,587",13,"10,396",0,0,0,0,0,0,0,0,5,"59,794",4,"9,394",0,0,0,0,0,0,0,0,1,"2,488",1,"39,267",0,0,11,"9,705",0,0,1,124,1,53,15,"677,711",0,0,1,"1,296",1,605,0,0,2,"9,660",2,"11,561",0,0,2,158,0,0,1,180,6,"3,868",7,"45,767",0,0,0,0,1,"-24,387",1,"-7,258",1,"4,509",0,0,1,"24,387",0,0,1,"28,705",0,0,2,"61,794",2,"17,215",13,"548,083",7,"299,644",14,"111,249",1,"35,019",1,"25,703",1,"1,317",1,"29,127",0,0,1,"-21,128",1,"-21,128",0,0,0,0,1,"30,000",0,0,1,"35,850",1,"15,221",1,"20,629",0,0,1,"3,867",0,0,15,"5,521",0,0,3,"14,151",0,0,0,0,8,4,"2,374",3,"1,217",1,"1,088"
Female,Non Taxable,g. 45 - 49,"i. $45,001 to $50,000","c. $37,001 to $80,000",9,9,"431,464",9,"64,524",8,"5,970",0,0,0,0,0,0,0,0,5,"74,836",4,"4,522",0,0,0,0,0,0,1,"2,059",0,0,0,0,0,0,6,"4,243",0,0,1,"1,111",1,476,9,"495,021",0,0,1,"10,920",1,361,0,0,2,681,2,"11,962",0,0,0,0,0,0,1,516,3,935,6,"13,413",1,"31,144",1,"1,300",0,0,0,0,0,0,0,0,0,0,1,"1,600",0,0,0,0,1,"1,363",2,"20,659",8,"425,053",2,"136,704",9,"100,682",2,"37,605",2,"20,870",1,703,2,"13,580",1,"2,501",1,-49,2,"2,452",0,0,0,0,0,0,0,0,0,0,1,"1,600",1,"-1,600",0,0,0,0,0,0,9,"2,528",0,0,1,"26,641",0,0,0,0,8,7,"4,485",0,0,1,297
Female,Non Taxable,g. 45 - 49,"j. $50,001 to $55,000","c. $37,001 to $80,000",7,7,"360,878",7,"58,864",7,"6,298",0,0,0,0,0,0,0,0,4,"41,134",3,"1,513",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"1,376",1,14,1,99,1,42,7,"406,615",0,0,0,0,0,0,0,0,3,"2,120",3,"2,120",0,0,0,0,0,0,2,886,2,825,5,"45,737",0,0,0,0,0,0,1,"34,824",0,0,0,0,0,0,0,0,0,0,0,0,1,"7,889",2,"52,443",7,"324,946",2,"72,296",7,"76,332",2,"8,845",1,"1,199",0,0,2,"4,547",1,"3,831",1,-732,2,"3,099",0,0,0,0,1,"30,000",1,"11,906",2,"7,681",2,"6,554",2,"1,127",0,0,0,0,0,0,7,"1,587",0,0,1,"12,453",0,0,0,0,5,4,"2,722",2,297,3,"1,652"
Female,Non Taxable,g. 45 - 49,"k. $55,001 to $60,000","c. $37,001 to $80,000",3,3,"172,220",3,"30,612",3,"3,444",0,0,0,0,0,0,0,0,2,"13,537",2,"3,186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"7,907",0,0,1,186,1,80,3,"174,314",0,0,0,0,1,214,0,0,2,"1,203",2,"1,417",0,0,0,0,0,0,0,0,3,677,3,"2,094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"153,774",0,0,3,"35,455",1,"23,160",1,"6,646",1,"1,887",1,"15,839",0,0,1,"-1,212",1,"-1,212",1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,417,0,0,0,0,0,0,0,0,1,1,350,0,0,0,0
Female,Non Taxable,g. 45 - 49,"l. $60,001 to $70,000","c. $37,001 to $80,000",11,11,"701,053",11,"134,859",10,"12,814",0,0,0,0,0,0,1,"2,733",8,"174,247",7,"29,693",0,0,0,0,0,0,1,"1,738",0,0,0,0,0,0,6,"19,945",0,0,1,310,1,132,11,"751,341",1,132,1,621,2,630,1,100,4,"2,225",5,"3,708",0,0,0,0,0,0,4,"12,783",5,"10,419",11,"50,288",0,0,1,"1,598",0,0,3,"-161,042",2,"5,579",1,"9,700",0,0,0,0,1,"1,736",0,0,2,"9,478",0,0,10,"718,514",5,"414,463",11,"159,246",5,"66,112",4,"49,110",1,304,5,"41,882",1,"2,054",4,"-27,238",5,"-25,184",0,0,0,0,1,"20,000",3,"3,378",1,"16,250",1,"5,005",1,"11,245",0,0,0,0,0,0,9,541,0,0,1,"12,428",0,0,0,0,7,6,"4,225",0,0,1,568
Female,Non Taxable,g. 45 - 49,"m. $70,001 to $80,000","c. $37,001 to $80,000",6,6,"455,955",6,"97,467",6,"9,119",0,0,0,0,0,0,1,"1,199",1,"4,584",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"4,446",0,0,0,0,0,0,6,"456,225",0,0,0,0,0,0,0,0,1,119,1,119,0,0,0,0,0,0,1,30,2,121,3,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"42,447",6,"449,180",3,"150,371",6,"111,646",1,"11,031",1,"4,767",1,"2,226",1,"4,216",0,0,1,-178,1,-178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1,199",1,"3,521",0,0,4,3,"2,396",0,0,1,187
Female,Non Taxable,g. 45 - 49,"n. $80,001 to $87,000","d. $80,001 to $180,000",5,5,"406,318",5,"90,073",4,"6,517",0,0,0,0,0,0,1,"5,422",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"16,819",1,69,2,"1,184",2,507,5,"409,986",0,0,0,0,0,0,0,0,1,"1,039",1,"1,039",0,0,1,"1,698",1,16,0,0,2,760,2,"3,668",0,0,0,0,0,0,3,"27,561",3,"6,772",0,0,0,0,0,0,4,"133,896",0,0,5,"268,676",1,"4,896",4,"230,888",3,"72,299",5,"79,089",1,"18,200",1,"10,669",1,82,1,"10,787",0,0,1,"-3,338",1,"-3,338",0,0,0,0,0,0,1,155,1,"2,400",0,0,1,"2,400",0,0,0,0,0,0,0,0,0,0,1,"10,722",0,0,0,0,5,4,"1,544",0,0,1,333
Female,Non Taxable,g. 45 - 49,"o. $87,001 to $90,000","d. $80,001 to $180,000",4,4,"351,934",4,"82,004",4,"7,039",0,0,0,0,0,0,0,0,1,"92,224",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"3,462",0,0,0,0,0,0,4,"380,975",0,0,0,0,0,0,0,0,1,"3,832",1,"3,832",0,0,0,0,0,0,1,468,3,905,3,"29,041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"25,968",3,"288,275",1,"92,222",4,"100,098",1,"13,010",1,"10,388",0,0,1,"5,274",0,0,1,"-2,652",1,"-2,652",0,0,0,0,0,0,1,"23,836",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,"1,186",1,102,1,426
Female,Non Taxable,g. 45 - 49,"p. $90,001 to $100,000","d. $80,001 to $180,000",3,3,"288,507",3,"48,112",3,"5,770",1,"1,460",0,0,0,0,1,"3,731",1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,3,"303,345",0,0,0,0,0,0,0,0,1,299,1,299,1,"1,003",0,0,0,0,0,0,2,"5,619",2,"11,250",0,0,1,988,0,0,2,"94,745",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"61,598",3,"379,142",2,"122,819",3,"63,560",3,"65,853",3,"82,789",1,"11,296",3,"43,771",0,0,3,"-72,003",3,"-72,003",0,0,0,0,0,0,1,"4,329",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"3,676",0,0,0,0,1,1,763,0,0,1,763
Female,Non Taxable,g. 45 - 49,"q. $100,001 to $150,000","d. $80,001 to $180,000",9,9,"1,115,144",9,"304,276",9,"22,303",2,"2,934",0,0,0,0,0,0,5,"417,927",2,"2,196",0,0,1,"2,725",1,"1,215",0,0,0,0,0,0,0,0,7,"8,286",0,0,1,113,1,48,9,"1,150,921",2,403,1,"20,130",4,834,1,879,4,"9,233",4,"31,479",0,0,0,0,0,0,1,50,7,"4,248",7,"35,777",0,0,2,"42,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"778,937",3,"257,067",9,"406,371",4,"175,926",4,"126,710",3,"14,177",4,"89,196",1,"3,649",3,"-57,806",4,"-54,157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,276,0,0,0,0,0,0,7,5,"2,557",0,0,5,"2,174"
Female,Non Taxable,g. 45 - 49,"r. $150,001 to $180,000","d. $80,001 to $180,000",5,5,"828,850",5,"246,410",5,"16,577",1,"2,396",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"7,537",1,"1,003",2,"6,055",2,"2,594",5,"852,823",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,132,0,0,2,923,4,"1,532",5,"23,973",0,0,0,0,0,0,2,888,1,261,0,0,0,0,0,0,2,444,0,0,2,833,0,0,5,"883,244",2,"4,007",5,"276,421",3,"107,962",2,"73,760",0,0,3,"57,518",1,"9,539",2,"-32,855",3,"-23,316",1,16,0,0,0,0,3,"21,386",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,"1,838",0,0,2,"1,838"
Female,Non Taxable,g. 45 - 49,"s. $180,001 to $250,000","e. $180,000 or more",5,5,"1,022,008",5,"327,639",5,"20,440",2,"3,653",0,0,0,0,0,0,2,"190,924",1,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"75,351",0,0,0,0,0,0,5,"1,030,121",0,0,0,0,1,300,0,0,1,"3,608",1,"3,908",0,0,0,0,0,0,4,"3,039",3,"1,166",4,"8,113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"178,088",0,0,2,"356,165",0,0,3,"606,038",1,"221,195",5,"365,430",1,"57,266",1,"54,886",1,58,1,"22,245",0,0,1,"-19,923",1,"-19,923",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,440,2,34,1,427
Female,Non Taxable,g. 45 - 49,"t. $250,001 to $500,000","e. $180,000 or more",4,4,"1,387,057",4,"518,364",4,"27,741",0,0,0,0,0,0,0,0,2,"390,795",1,"1,166",0,0,0,0,0,0,0,0,0,0,0,0,1,"7,717",4,"16,665",1,70,2,"1,372",2,587,4,"1,395,083",0,0,0,0,1,148,0,0,1,645,1,793,0,0,0,0,0,0,2,"1,025",3,"6,208",4,"8,026",0,0,1,"30,000",0,0,1,"3,150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"13,583",3,"936,433",1,"301,025",4,"567,480",2,"93,929",1,"12,367",2,"1,130",2,"32,999",1,"53,424",1,"-5,991",2,"47,433",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,"1,663",0,0,2,"1,663"
Female,Non Taxable,h. 50 - 54,"a. $6,000 or less","a. $18,200 or less","36,223","30,814","-61,221,718",58,"8,522",1,34,0,0,0,0,0,0,3,"13,102","9,347","79,251,719","6,757","10,813,487","1,643","3,043,481",100,"249,370",81,"198,481","1,319","5,476,288",272,"727,605",58,"219,439",49,"442,313","19,499","19,129,653","2,922","1,046,482","9,297","9,598,309","9,280","4,098,692","33,064","21,072,261",711,"1,206,577",203,"200,242","2,019","398,572",141,"273,788","2,276","1,478,351","3,448","3,557,530",777,"539,634",538,"2,471,573",433,"2,153,327","1,987","1,004,728","6,500","4,832,698","10,772","21,017,863",319,"6,522,895",405,"3,274,944","2,094","-44,068,803","5,574","-1,887,736","1,769","1,851,754",253,"1,505,680",135,"2,355,965","1,493","25,095,544","1,702","12,692,556",0,0,"2,416","66,599,708","3,780","155,915,266","1,897","2,452,467","1,813","977,790","1,481","103,540","9,332","184,171,995","8,391","114,455,494","4,905","18,128,565","9,398","103,452,576","2,610","11,182,024","6,833","-63,017,565","9,464","-51,835,541",524,"1,024,342",316,"882,973",165,"2,735,199",605,"3,637,638","4,649","387,960,256","4,585","418,945,129","4,895","-51,474,390",0,0,0,0,0,0,57,"8,176",0,0,"2,737","36,586,321",319,"3,551,557",1,667,"20,714","17,210","11,637,282","1,859","786,966","2,120","863,839"
Female,Non Taxable,h. 50 - 54,"b. $6,001 to $10,000","a. $18,200 or less","12,533","12,533","101,177,901",24,"3,847",0,0,0,0,0,0,0,0,0,0,"6,773","56,609,594","5,316","5,538,178","1,231","2,054,313",82,"235,589",60,"120,251","1,134","6,330,929",194,"914,497",48,"232,987",46,"322,068","7,644","12,306,577",942,"329,294","3,024","4,210,012","3,018","1,797,800","12,533","109,955,688",551,"756,684",130,"88,956","1,833","343,923",84,"136,281","1,796","851,256","2,833","2,177,100",191,"74,196",189,"341,478",173,"522,893","1,469","458,560","2,950","843,864","5,434","6,098,889",283,"5,798,576",281,"1,896,307",277,"-1,294,594","2,005","7,376,913",755,"704,688",200,"1,114,075",11,"177,096",292,"3,392,956",753,"2,217,974",0,0,"1,005","11,369,923","1,050","31,024,072",861,"1,567,936",790,"625,965",719,"67,749","2,535","37,363,393","1,836","16,571,521","1,107","2,558,744","2,533","18,703,261","1,393","7,571,765","1,163","-8,041,898","2,557","-470,133",199,"535,109",145,"511,796",68,"1,054,672",190,"624,584","1,849","64,961,760","1,717","56,688,349","1,896","6,376,171",0,0,0,0,0,0,24,"3,775",0,0,"1,065","14,134,857",128,"1,191,343",2,"9,723","7,260","6,203","4,040,949",526,"187,859",742,"295,644"
Female,Non Taxable,h. 50 - 54,"c. $10,001 to $18,200","a. $18,200 or less","38,949","38,949","565,477,008",113,"21,896",0,0,0,0,0,0,0,0,6,"16,491","24,962","326,859,592","21,032","29,284,560","4,989","10,715,263",297,"1,194,681",280,"520,440","7,745","77,308,611",894,"6,632,084",139,"809,578",159,"1,639,015","22,360","35,713,027","2,590","1,089,864","7,933","11,829,688","7,909","5,052,897","38,949","596,704,635","2,828","4,654,858",639,"648,803","8,716","1,822,418",429,"711,418","8,306","4,076,710","12,774","11,914,207",532,"240,307",554,"1,060,960",449,"1,122,700","5,820","2,016,747","10,486","3,287,713","19,905","24,904,919","1,701","39,501,919","1,097","6,303,764",720,"-2,708,699","5,834","41,183,627","1,941","2,375,465",577,"4,849,512",44,"741,938",778,"8,443,777","1,804","7,291,425",0,0,"2,444","33,236,288","2,819","75,006,081","2,197","4,488,882","2,045","2,416,289","1,827","194,275","6,865","109,511,935","5,203","51,725,938","2,979","7,771,130","6,854","51,307,436","3,368","23,984,981","3,560","-25,277,550","6,940","-1,292,569",688,"2,344,112",389,"1,811,793",272,"3,607,123",670,"1,634,334","5,965","213,903,213","5,626","162,667,312","6,078","46,093,601",0,0,0,0,1,3,112,"21,591",0,0,"3,597","50,277,588",462,"5,004,236",12,"70,276","21,026","18,264","11,687,439","1,636","586,543","2,181","764,926"
Female,Non Taxable,h. 50 - 54,"d. $18,201 to $25,000","b. $18,201 to $37,000","22,559","22,559","449,166,123","22,546","7,334,592",59,"7,012",2,486,0,0,0,0,3,"7,852","15,450","256,727,607","13,198","22,166,575","3,756","14,480,615",142,"715,820",177,"341,933","4,897","43,787,255","1,538","20,737,721",113,"949,001",156,"2,226,233","12,414","17,660,924","1,345","579,151","4,147","6,820,153","4,133","2,918,552","22,559","474,579,849","2,882","4,855,334",546,"526,388","7,066","1,621,578",328,"582,001","6,728","3,522,092","9,923","11,107,393",311,"148,398",400,"550,624",254,"557,468","4,512","1,316,729","7,237","1,923,895","13,800","22,471,702","1,221","29,243,956",803,"6,338,848",415,"163,430","3,749","41,829,136","1,042","1,410,988",341,"3,726,231",23,"333,609",342,"3,855,289",965,"5,692,642",0,0,"1,264","17,598,174","1,486","40,036,368","1,115","3,020,482","1,042","1,879,522",958,"182,150","3,601","61,664,962","2,812","29,007,787","1,586","4,011,009","3,597","29,177,332","1,690","12,713,719","1,945","-13,244,885","3,639","-531,166",411,"2,309,158",216,"1,256,064",379,"5,717,614",410,"1,093,688","3,540","151,053,553","3,355","107,522,839","3,585","41,168,596",0,0,18,"3,742",304,"3,811","18,649","4,933,837",4,219,"1,931","26,721,317",282,"3,043,540",7,"33,781","11,631","10,463","6,704,826",844,"289,136","1,126","368,048"
Female,Non Taxable,h. 50 - 54,"e. $25,001 to $30,000","b. $18,201 to $37,000",913,913,"24,924,277",912,"1,578,476",32,"16,362",1,280,0,0,0,0,0,0,646,"9,175,945",570,"904,498",131,"144,963",6,"38,766",8,"8,099",289,"2,364,722",759,"9,234,715",12,"211,341",7,"127,510",464,"594,465",24,"16,480",114,"99,381",113,"42,568",913,"25,847,625",106,"146,093",24,"10,143",313,"75,381",22,"29,211",272,"137,336",423,"398,164",10,"1,783",12,"2,724",3,"11,962",236,"60,966",375,"75,681",596,"752,412",17,"231,909",23,"34,572",7,"174,641",57,"419,411",23,"39,311",16,"102,064",3,"34,863",8,"65,225",21,"99,036",0,0,27,"265,967",25,"465,872",54,"848,611",36,"533,919",53,"91,843",71,"1,108,823",45,"286,891",14,"31,003",70,"443,867",55,"379,828",16,"-32,766",71,"347,062",12,"29,391",10,"66,292",9,"193,389",7,"6,636",79,"1,956,110",78,"1,315,251",83,"552,425",0,0,12,"13,969",2,65,221,"69,020",0,0,140,"2,058,608",30,"292,974",0,0,312,302,"190,636",19,"4,932",25,"3,217"
Female,Non Taxable,h. 50 - 54,"f. $30,001 to $37,000","b. $18,201 to $37,000",392,392,"12,448,444",391,"1,006,174",32,"21,014",0,0,0,0,0,0,0,0,266,"5,299,930",245,"568,607",64,"49,276",5,"23,215",5,"13,243",84,"429,767",334,"3,954,358",11,"269,092",7,"170,904",215,"255,284",12,"9,926",48,"61,396",48,"26,297",392,"13,062,738",61,"106,155",14,"4,640",158,"46,463",11,"11,218",129,"86,617",197,"255,093",2,"2,622",6,"1,962",0,0,123,"37,873",182,"99,084",276,"591,990",5,"82,105",10,"34,075",6,"-76,005",16,"9,217",8,"55,322",8,"68,496",1,"85,281",3,"5,511",12,"73,540",0,0,13,"164,144",15,"1,801,378",39,"1,242,818",24,"562,202",41,"151,675",33,"746,371",17,"195,430",15,"40,866",35,"446,710",21,"212,705",14,"-149,340",35,"63,365",9,"25,315",1,273,7,"187,685",9,"7,671",45,"1,276,020",40,"676,625",47,"577,029",0,0,10,"21,965",3,138,367,"101,080",0,0,40,"617,048",10,"149,698",0,0,131,123,"79,892",9,"2,369",7,"1,955"
Female,Non Taxable,h. 50 - 54,"g. $37,001 to $40,000","c. $37,001 to $80,000",16,16,"620,094",16,"66,283",8,"6,223",0,0,0,0,0,0,0,0,5,"46,394",5,"3,760",0,0,0,0,0,0,1,"9,385",2,"13,830",4,"132,420",0,0,11,"19,593",2,"1,365",5,"21,400",5,"9,171",16,"668,661",0,0,0,0,2,408,0,0,4,"1,455",4,"1,863",0,0,1,"15,857",0,0,5,"1,363",8,"1,707",11,"48,567",0,0,0,0,0,0,3,"21,585",3,"5,462",0,0,0,0,0,0,3,"19,942",0,0,4,"55,317",1,"90,592",11,"313,840",6,"88,899",11,"49,952",5,"72,566",2,"5,313",3,"9,865",5,"33,979",4,"25,507",1,"-2,098",5,"23,409",1,"23,324",1,"3,303",2,"24,000",1,"3,777",1,"57,936",2,"42,236",2,"15,700",0,0,4,"14,775",0,0,16,"6,690",0,0,2,"28,366",0,0,0,0,10,9,"6,305",0,0,1,2
Female,Non Taxable,h. 50 - 54,"h. $40,001 to $45,000","c. $37,001 to $80,000",13,13,"544,511",13,"67,077",9,"7,612",1,334,0,0,0,0,0,0,1,"50,222",1,"7,068",1,315,0,0,0,0,3,"26,033",2,"14,070",1,"33,582",0,0,10,"91,147",2,789,6,"5,925",6,"2,537",13,"833,348",0,0,0,0,1,388,0,0,1,"1,559",1,"1,947",1,52,1,9,0,0,4,"1,415",7,"3,838",10,"42,261",0,0,0,0,3,"69,464",5,"48,561",1,271,1,"16,000",0,0,1,"1,316",0,0,0,0,0,0,5,"785,582",9,"492,916",3,"173,197",10,"72,612",3,"45,771",3,"28,751",2,"6,249",3,"19,179",1,"5,826",2,"-14,234",3,"-8,408",1,"5,377",0,0,1,"35,000",0,0,1,"11,700",2,"7,985",2,"3,715",0,0,1,"3,375",1,72,13,"4,832",0,0,2,"14,053",0,0,0,0,9,7,"6,093",1,679,1,624
